Student_ID,Branch,Diploma_Percentage,CGPA,Attendance_Percent,Aptitude_Score,Technical_Score,Communication_Skill,Internship_Completed,Projects_Count,Placement_Status
STU0354,Mechanical,71.5,7.53,93.8,46,9,Good,Yes,4,Placed
STU0355,Electrical,65.6,6.91,60.2,31,73,Average,No,5,Placed
STU0356,Civil,68.7,7.23,72.6,37,7,Good,No,2,Not Placed
STU0357,Mechanical,82.0,8.63,85.2,41,57,Average,No,0,Placed
STU0358,Computer,84.0,8.84,92.2,22,78,Good,Yes,5,Placed
STU0359,Mechanical,67.1,7.06,68.2,63,73,Excellent,No,1,Placed
STU0360,Electrical,73.0,7.68,74.8,21,45,Average,Yes,3,Not Placed
STU0361,Electrical,91.2,9.6,85.6,65,19,Good,Yes,5,Placed
STU0362,Civil,46.6,4.91,85.1,75,93,Poor,Yes,4,Placed
STU0363,Mechanical,46.4,4.88,87.6,97,84,Average,Yes,0,Placed
STU0364,Civil,44.8,4.72,77.4,12,61,Excellent,Yes,4,Not Placed
STU0365,Civil,76.2,8.02,55.0,76,8,Good,Yes,0,Placed
STU0366,Civil,63.0,6.63,93.4,8,3,Good,Yes,4,Not Placed
STU0367,Electrical,82.6,8.69,91.5,34,31,Average,Yes,3,Placed
STU0368,E&TC,76.9,8.09,88.3,17,15,Average,No,1,Not Placed
STU0369,Mechanical,58.4,6.15,54.8,16,86,Average,No,2,Not Placed
STU0370,Civil,89.4,9.41,59.8,17,20,Good,Yes,0,Placed
STU0371,Computer,81.9,8.62,85.7,4,28,Average,No,5,Not Placed
STU0372,Computer,54.9,5.78,51.1,83,98,Average,Yes,1,Placed
STU0373,E&TC,60.0,6.32,97.0,6,82,Average,Yes,1,Placed
STU0374,Electrical,57.3,6.03,68.1,40,22,Average,Yes,3,Not Placed
STU0375,Civil,48.7,5.13,84.5,70,38,Average,Yes,4,Placed
STU0376,Civil,48.1,5.06,92.6,100,52,Poor,Yes,3,Placed
STU0377,Civil,91.5,9.63,68.9,86,67,Excellent,Yes,3,Placed
STU0378,Mechanical,64.1,6.75,65.3,13,94,Good,Yes,3,Not Placed
STU0379,Computer,61.1,6.43,79.2,99,87,Poor,Yes,5,Placed
STU0380,Computer,80.1,8.43,77.9,66,98,Good,Yes,2,Placed
STU0381,E&TC,70.4,7.41,69.6,18,4,Good,Yes,4,Not Placed
STU0382,Mechanical,91.5,9.63,78.9,45,23,Average,Yes,4,Placed
STU0383,Electrical,82.9,8.73,94.9,92,56,Average,Yes,5,Placed
STU0384,Electrical,66.4,6.99,72.4,39,4,Poor,Yes,5,Not Placed
STU0385,Computer,60.7,6.39,59.4,18,35,Poor,Yes,4,Not Placed
STU0386,Electrical,94.3,9.93,68.1,88,15,Good,Yes,1,Placed
STU0387,Computer,79.5,8.37,68.9,96,94,Excellent,Yes,4,Placed
STU0388,Computer,92.3,9.72,56.3,98,6,Poor,No,4,Placed
STU0389,Computer,46.5,4.89,57.8,96,14,Good,Yes,1,Not Placed
STU0390,E&TC,86.8,9.14,82.9,88,19,Poor,Yes,4,Placed
STU0391,Electrical,75.0,7.89,66.3,45,15,Good,Yes,1,Not Placed
STU0392,E&TC,46.7,4.92,95.8,19,57,Good,No,3,Not Placed
STU0393,Electrical,72.4,7.62,61.7,62,36,Average,No,4,Not Placed
STU0394,Mechanical,77.7,8.18,54.7,22,92,Poor,No,1,Not Placed
STU0395,Civil,40.7,4.28,86.2,47,26,Good,No,2,Not Placed
STU0396,E&TC,65.0,6.84,92.3,66,54,Excellent,Yes,4,Placed
STU0397,Electrical,85.4,8.99,63.3,95,66,Average,No,2,Placed
STU0398,Computer,56.2,5.92,59.7,29,63,Average,Yes,5,Not Placed
STU0399,Mechanical,65.2,6.86,58.9,25,80,Poor,No,0,Not Placed
STU0400,E&TC,64.3,6.77,75.1,74,20,Good,Yes,4,Placed
STU0401,Electrical,56.6,5.96,72.5,0,51,Good,Yes,4,Not Placed
STU0402,E&TC,90.5,9.53,62.5,57,80,Good,No,5,Placed
STU0403,Electrical,83.0,8.74,52.2,75,87,Good,Yes,0,Placed
STU0404,Computer,46.1,4.85,73.1,55,62,Excellent,No,5,Placed
STU0405,E&TC,94.8,9.98,96.0,38,65,Good,Yes,2,Placed
STU0406,Civil,88.4,9.31,81.3,83,87,Average,No,2,Placed
STU0407,Civil,55.6,5.85,73.8,37,63,Good,No,2,Not Placed
STU0408,E&TC,86.0,9.05,55.3,71,95,Average,Yes,3,Placed
STU0409,Computer,45.9,4.83,62.1,46,12,Average,No,3,Not Placed
STU0410,E&TC,95.0,10.0,64.1,2,35,Excellent,No,2,Not Placed
STU0411,Mechanical,76.6,8.06,86.7,53,11,Good,No,0,Not Placed
STU0412,E&TC,75.8,7.98,92.1,4,9,Excellent,Yes,5,Not Placed
STU0413,Computer,45.0,4.74,93.3,94,47,Average,Yes,1,Placed
STU0414,Electrical,89.3,9.4,97.3,60,22,Good,No,0,Placed
STU0415,Civil,41.6,4.38,97.2,37,41,Average,Yes,3,Not Placed
STU0416,Computer,53.2,5.6,95.7,49,44,Poor,Yes,2,Not Placed
STU0417,Computer,47.9,5.04,53.4,62,62,Average,Yes,3,Placed
STU0418,E&TC,82.7,8.71,56.6,26,95,Good,No,5,Placed
STU0419,Computer,50.9,5.36,64.6,29,85,Poor,Yes,0,Not Placed
STU0420,Civil,90.1,9.48,76.5,42,38,Excellent,No,1,Placed
STU0421,E&TC,76.1,8.01,54.7,26,32,Poor,No,3,Not Placed
STU0422,Civil,42.0,4.42,90.6,76,77,Average,Yes,4,Placed
STU0423,Electrical,40.3,4.24,79.6,10,12,Good,Yes,3,Not Placed
STU0424,Electrical,42.8,4.51,76.0,83,54,Poor,No,2,Not Placed
STU0425,Civil,73.3,7.72,57.9,35,42,Excellent,Yes,3,Placed
STU0426,Electrical,84.1,8.85,62.2,56,18,Good,No,5,Placed
STU0427,Electrical,53.1,5.59,57.7,15,62,Poor,No,2,Not Placed
STU0428,Computer,86.7,9.13,90.9,38,32,Good,No,5,Placed
STU0429,Civil,43.1,4.54,78.0,76,18,Good,Yes,4,Not Placed
STU0430,Civil,84.1,8.85,85.3,27,65,Good,No,1,Placed
STU0431,Civil,91.0,9.58,64.2,13,17,Good,No,1,Not Placed
STU0432,Computer,82.5,8.68,67.8,52,67,Good,Yes,4,Placed
STU0433,Civil,78.4,8.25,69.4,16,16,Good,No,1,Not Placed
STU0434,Civil,86.1,9.06,86.5,31,43,Average,No,2,Not Placed
STU0435,Computer,42.2,4.44,87.1,45,81,Good,No,1,Placed
STU0436,E&TC,51.1,5.38,59.9,56,23,Excellent,Yes,3,Not Placed
STU0437,Electrical,46.9,4.94,95.2,64,77,Good,Yes,1,Placed
STU0438,Electrical,67.7,7.13,55.8,68,72,Good,Yes,3,Placed
STU0439,Civil,81.0,8.53,93.0,85,91,Average,Yes,5,Placed
STU0440,Electrical,74.7,7.86,54.8,6,17,Good,Yes,4,Not Placed
STU0441,Electrical,86.8,9.14,62.7,36,72,Excellent,No,5,Placed
STU0442,Mechanical,48.5,5.11,90.6,0,94,Average,Yes,0,Not Placed
STU0443,E&TC,80.4,8.46,58.6,0,77,Average,No,2,Not Placed
STU0444,E&TC,50.6,5.33,69.9,21,18,Good,Yes,1,Not Placed
STU0445,Computer,54.9,5.78,71.6,60,83,Average,Yes,5,Placed
STU0446,Civil,79.0,8.32,61.8,90,10,Good,Yes,4,Placed
STU0447,Computer,93.9,9.88,84.1,78,59,Poor,Yes,1,Placed
STU0448,Mechanical,73.6,7.75,90.9,65,50,Average,No,3,Placed
STU0449,E&TC,43.0,4.53,92.0,78,53,Good,No,3,Placed
STU0450,Computer,73.9,7.78,66.3,17,52,Good,No,2,Not Placed
STU0451,Mechanical,42.3,4.45,75.5,84,3,Good,Yes,2,Not Placed
STU0452,Mechanical,88.6,9.33,61.9,89,51,Good,No,0,Placed
STU0453,Civil,79.0,8.32,61.8,9,94,Good,Yes,2,Placed
STU0454,Electrical,49.5,5.21,57.7,47,44,Good,No,2,Not Placed
STU0455,Electrical,45.0,4.74,95.1,83,27,Good,Yes,4,Placed
STU0456,E&TC,50.1,5.27,92.6,48,100,Good,Yes,5,Placed
STU0457,Electrical,93.9,9.88,87.3,84,9,Good,Yes,4,Placed
STU0458,Civil,65.2,6.86,74.8,94,49,Poor,Yes,0,Placed
STU0459,Computer,83.1,8.75,73.5,47,51,Average,Yes,5,Placed
STU0460,Mechanical,75.0,7.89,75.4,6,48,Good,No,2,Not Placed
STU0461,E&TC,71.5,7.53,75.8,34,93,Excellent,No,2,Placed
STU0462,E&TC,48.0,5.05,70.9,21,42,Good,No,5,Not Placed
STU0463,Civil,92.0,9.68,56.3,47,98,Poor,Yes,5,Placed
STU0464,Mechanical,56.6,5.96,56.0,59,6,Good,No,0,Not Placed
STU0465,Computer,71.8,7.56,95.7,46,74,Average,Yes,2,Placed
STU0466,E&TC,78.5,8.26,73.1,19,59,Good,Yes,4,Placed
STU0467,Civil,75.7,7.97,95.8,30,24,Good,Yes,3,Placed
STU0468,Mechanical,91.7,9.65,57.9,68,23,Good,Yes,1,Placed
STU0469,Electrical,48.2,5.07,76.6,2,72,Good,No,3,Not Placed
STU0470,Civil,68.0,7.16,60.0,21,64,Average,Yes,5,Not Placed
STU0471,Electrical,62.2,6.55,62.2,90,61,Average,Yes,1,Placed
STU0472,E&TC,66.1,6.96,51.4,10,5,Excellent,No,4,Not Placed
STU0473,Computer,46.6,4.91,55.7,41,60,Good,Yes,4,Not Placed
STU0474,Mechanical,47.4,4.99,94.0,20,99,Good,No,5,Placed
STU0475,Computer,55.3,5.82,65.4,10,1,Average,Yes,1,Not Placed
STU0476,Civil,56.8,5.98,79.2,42,47,Poor,No,1,Not Placed
STU0477,Civil,63.5,6.68,72.3,52,49,Poor,No,3,Not Placed
STU0478,E&TC,73.6,7.75,69.2,17,90,Average,No,3,Not Placed
STU0479,Electrical,74.9,7.88,75.5,7,28,Average,No,2,Not Placed
STU0480,Computer,62.6,6.59,59.0,13,48,Excellent,No,4,Placed
STU0481,Electrical,62.5,6.58,97.5,65,72,Good,No,4,Placed
STU0482,Computer,52.0,5.47,89.3,86,6,Average,Yes,1,Placed
STU0483,Civil,72.4,7.62,85.6,18,80,Poor,Yes,4,Placed
STU0484,Civil,57.4,6.04,72.5,32,83,Average,No,1,Not Placed
STU0485,E&TC,42.0,4.42,57.3,34,72,Good,Yes,2,Not Placed
STU0486,Mechanical,63.0,6.63,94.2,36,65,Average,Yes,0,Placed
STU0487,Mechanical,66.1,6.96,66.4,24,75,Good,Yes,2,Placed
STU0488,Computer,52.4,5.52,52.4,5,78,Good,Yes,5,Not Placed
STU0489,Electrical,71.5,7.53,66.4,53,91,Poor,Yes,2,Placed
STU0490,Electrical,71.1,7.48,88.1,36,43,Good,No,4,Placed
STU0491,Civil,78.6,8.27,79.9,34,46,Excellent,No,0,Placed
STU0492,Civil,75.6,7.96,86.0,26,64,Average,No,3,Placed
STU0493,Computer,75.9,7.99,88.1,93,19,Poor,Yes,2,Placed
STU0494,Mechanical,57.4,6.04,60.2,61,86,Excellent,Yes,4,Placed
STU0495,Electrical,83.3,8.77,94.3,42,77,Excellent,No,5,Placed
STU0496,Mechanical,70.2,7.39,71.0,20,63,Good,Yes,3,Placed
STU0497,Computer,63.7,6.71,80.7,80,30,Good,No,0,Not Placed
STU0498,E&TC,74.4,7.83,50.1,89,35,Average,Yes,2,Placed
STU0499,Civil,59.8,6.29,97.7,3,43,Good,No,0,Not Placed
STU0500,Electrical,68.2,7.18,63.5,93,66,Average,Yes,2,Placed
